symbol	family	source_file	line	firestaff_mapping	status
DM2_CREATURE_EXPLODE_OR_SUMMON	SKULLWIN	SKULLWIN/c_creature.cpp	2762	src/dm2/dm2_v1_ccm.c:341	UNCERTAIN
DM2_CREATURE_WALK_NOW	SKULLWIN	SKULLWIN/c_creature.cpp	2845		MISSING
DM2_1B7D5	SKULLWIN	SKULLWIN/c_creature.cpp	2916		MISSING
DM2_PROCEED_CCM	SKULLWIN	SKULLWIN/c_creature.cpp	2930	src/dm2/dm2_v1_creature.c:388	UNCERTAIN
DM2_GET_CREATURE_ANIMATION_FRAME	SKULLWIN	SKULLWIN/c_creature.cpp	3217		MISSING
DM2_4FCC	SKULLWIN	SKULLWIN/c_creature.cpp	3299		MISSING
DM2_ALLOC_CPX_LINK_NODE	SKULLWIN	SKULLWIN/c_dballoc.cpp	26		MISSING
DM2_ALLOC_CPX_UNLINK_NODE	SKULLWIN	SKULLWIN/c_dballoc.cpp	65		MISSING
DM2_ALLOC_CPX1	SKULLWIN	SKULLWIN/c_dballoc.cpp	87		MISSING
ulptable	SKULLWIN	SKULLWIN/c_dballoc.cpp	121		MISSING
init	SKULLWIN	SKULLWIN/c_dballoc.cpp	125	src/dm2/dm2_v2_touch_runtime.c:32	UNCERTAIN
getadr	SKULLWIN	SKULLWIN/c_dballoc.cpp	130		MISSING
getp	SKULLWIN	SKULLWIN/c_dballoc.cpp	132		MISSING
setp	SKULLWIN	SKULLWIN/c_dballoc.cpp	133		MISSING
setl	SKULLWIN	SKULLWIN/c_dballoc.cpp	134		MISSING
islen	SKULLWIN	SKULLWIN/c_dballoc.cpp	135		MISSING
DM2_QUERY_GDAT_RAW_DATA_LENGTH	SKULLWIN	SKULLWIN/c_dballoc.cpp	138	include/dm2_v1_asset_loader.h:261	VERIFIED_SOURCE_MAPPING
R_2D87A	SKULLWIN	SKULLWIN/c_dballoc.cpp	152		MISSING
splitlong	SKULLWIN	SKULLWIN/c_dballoc.cpp	164		MISSING
DM2_SETUP_DB_ALLOCATION	SKULLWIN	SKULLWIN/c_dballoc.cpp	257		MISSING
DM2_SET_PPPW_ENTRY	SKULLWIN	SKULLWIN/c_dballoc.cpp	277		MISSING
DM2_dballoc_38c8_0109	SKULLWIN	SKULLWIN/c_dballoc.cpp	290		MISSING
DM2_dballoc_38c8_0224	SKULLWIN	SKULLWIN/c_dballoc.cpp	341		MISSING
DM2_ALLOC_CPX_SETUP	SKULLWIN	SKULLWIN/c_dballoc.cpp	454		MISSING
DM2_dballoc_3e74_5561	SKULLWIN	SKULLWIN/c_dballoc.cpp	499		MISSING
DM2_ALLOCATION1	SKULLWIN	SKULLWIN/c_dballoc.cpp	511		MISSING
DM2_ALLOCATION2	SKULLWIN	SKULLWIN/c_dballoc.cpp	522		MISSING
DM2_ALLOCATION3	SKULLWIN	SKULLWIN/c_dballoc.cpp	586		MISSING
DM2_ALLOC_CPX_GET_WTABLE_ENTRY	SKULLWIN	SKULLWIN/c_dballoc.cpp	646		MISSING
DM2_dballoc_2E52C	SKULLWIN	SKULLWIN/c_dballoc.cpp	660		MISSING
DM2_ADD_TO_PRESERVED_GFX	SKULLWIN	SKULLWIN/c_dballoc.cpp	678		MISSING
DM2_FIND_IN_PRESERVED_GFX	SKULLWIN	SKULLWIN/c_dballoc.cpp	698		MISSING
DM2_ALLOCATION6	SKULLWIN	SKULLWIN/c_dballoc.cpp	730		MISSING
